"persId","orgId","eventId","role","from","to","previous persId","next persId"
"KucanMilan1941","preds.Predsedstvo","preds.Predsedstvo-09","head","","","",""
"KucanMilan1941","preds.Predsednik","preds.Predsednik-01","head","","","",""
"PlutDusan1950","preds.Predsedstvo","preds.Predsedstvo-09","member","","","",""
"ZlobecCiril1925","preds.Predsedstvo","preds.Predsedstvo-09","member","","","",""
"MalesicMatija1933","gov.VladaRS","gov.VladaRS-1","deputy","","","",""
"MencingerJoze1941","gov.VladaRS","gov.VladaRS-1","deputy","1990-05-16","1991-05-08","","OcvirkAndrej1942"
"MencingerJoze1941","pp.SDSS","gov.VladaRS-1","","","","",""
"OcvirkAndrej1942","gov.VladaRS","gov.VladaRS-1","deputy","1991-05-08","1992-05-14","MencingerJoze1941",""
"BastlMaks1941","gov.VladaRS","gov.VladaRS-1","member","1991-05-08","1992-02-12","","JerajJozef1938"
"BastlMaks1941","gov.MTRS","gov.VladaRS-1","head","1991-05-08","1992-02-12","","JerajJozef1938"
"BavcarIgor1955","gov.VladaRS","gov.VladaRS-1","member","","","",""
"BavcarIgor1955","gov.MNZRS","gov.VladaRS-1","head","","","",""
"BavcarIgor1955","gov.VladaRS","gov.VladaRS-2","member","","","",""
"BavcarIgor1955","gov.MNZRS","gov.VladaRS-2","head","","","",""
"BrezarViktor1943","gov.VladaRS","gov.VladaRS-1","member","","","",""
"BrezarViktor1943","gov.MMGRS","gov.VladaRS-1","head","","","",""
"BrezarViktor1943","pp.SOS","gov.VladaRS-1","","","","",""
"DularJanez1943","gov.VladaRS","gov.VladaRS-1","member","","","",""
"DularJanez1943","gov.MSSNS","gov.VladaRS-1","head","","","",""
"GodesaFranc1934","gov.VladaRS","gov.VladaRS-1","member","","","",""
"GodesaFranc1934","gov.MBVIRS","gov.VladaRS-1","head","","","",""
"GodesaFranc1934","pp.ZKS-SDP","gov.VladaRS-1","","","","",""
"JankoAlojz1943","gov.VladaRS","gov.VladaRS-1","member","","","",""
"JankoAlojz1943","gov.MZRS","gov.VladaRS-1","head","","","",""
"JankoAlojz1943","gov.VladaRS","gov.VladaRS-2","member","","","",""
"JankoAlojz1943","gov.MZRS","gov.VladaRS-2","head","","","",""
"JazbinsekMiha1941","gov.VladaRS","gov.VladaRS-1","member","","","",""
"JazbinsekMiha1941","gov.MVOUPRS","gov.VladaRS-1","head","","","",""
"JazbinsekMiha1941","gov.VladaRS","gov.VladaRS-2","member","","","",""
"JazbinsekMiha1941","gov.MVOUPRS","gov.VladaRS-2","head","","","",""
"JerajJozef1938","gov.VladaRS","gov.VladaRS-1","member","1992-02-12","1992-05-14","BastlMaks1941",""
"JerajJozef1938","gov.MTRS","gov.VladaRS-1","head","1992-02-12","1992-05-14","BastlMaks1941",""
"JerajJozef1938","gov.VladaRS","gov.VladaRS-2","member","1992-05-14","1992-09-23","","ValentincicDavorin"
"JerajJozef1938","gov.MTRS","gov.VladaRS-2","head","1992-05-14","1992-09-23","","ValentincicDavorin"
"StanicStane1926","gov.VladaRS","gov.VladaRS-1","member","1990-05-16","1991-04-24","","KacinJelko1955"
"StanicStane1926","gov.MIRS","gov.VladaRS-1","head","1990-05-16","1991-04-24","","KacinJelko1955"
"StanicStane1926","pp.ZSMS","gov.VladaRS-1","","","","",""
"KacinJelko1955","gov.VladaRS","gov.VladaRS-1","member","1991-04-24","1992-05-14","StanicStane1926",""
"KacinJelko1955","gov.MIRS","gov.VladaRS-1","head","1991-04-24","1992-05-14","StanicStane1926",""
"KacinJelko1955","gov.VladaRS","gov.VladaRS-2","member","","","",""
"KacinJelko1955","gov.MIRS","gov.VladaRS-2","head","","","",""
"KrajncMarjan1927","gov.VladaRS","gov.VladaRS-1","member","","","",""
"KrajncMarjan1927","gov.MPZRS","gov.VladaRS-1","head","","","",""
"KrajncMarjan1927","gov.VladaRS","gov.VladaRS-2","member","","","",""
"KrajncMarjan1927","gov.MPZRS","gov.VladaRS-2","head","","","",""
"KranjecMarko1940","gov.VladaRS","gov.VladaRS-1","member","1990-05-16","1991-05-08","","SesokDusan1953"
