"orgId","name","initial","type","from","to","part of orgId","previous orgId","next orgId"
"preds.Predsedstvo","Predsedstvo Socialistične republike Slovenije","","head of state","1974","1990","","",""
"preds.Predsedstvo","Predsedstvo Republike Slovenije","","head of state","1990","1992","","",""
"preds.Predsednik","Predsednik Republike Slovenije","","head of state","1992","","","",""
"parl.Skup","Skupščina Republike Slovenije","","legislative","1990-06-23","1992-12-23","","",""
"parl.Skup","Skupščina Socialistične republike Slovenije","","legislative","1963-06-24","1990-06-23","","",""
"parl.Skup","Ljudska skupščina Ljudske republike Slovenije","","legislative","1947","1963","","",""
"parl.DruzPolZb","Družbenopolitični zbor","","legislative","1974","1992","parl.Skup","",""
"parl.ZbObc","Zbor občin","","legislative","1974","1992","parl.Skup","",""
"parl.ZbZdruDel","Zbor združenega dela","","legislative","1974","1992","parl.Skup","",""
"gov.IzvSv","Izvršni svet Skupščine Socialistične Republike Slovenije","","executive","1963","","","",""
"gov.VladaRS","Vlada Republike Slovenije","","executive","1992-01","","","",""
"gov.VladaRS","Izvršni svet Republike Slovenije","","executive","1990-06-23","1992-01","","",""
"gov.VladaRS","Izvršni svet Skupščine Republike Slovenije","","executive","1990-05-16","1990-06-23","","",""
"gov.MBVIRS","Ministrstvo za borce in vojaške invalide","","executive","1991-06-28","1993","gov.VladaRS","",""
"gov.MBVIRS","Republiški sekretariat za borce in vojaške invalide","","executive","1990-06-23","1991-06-27","gov.VladaRS","",""
"gov.MBVIRS","Republiški komite za borce in vojaške invalide Republike Slovenije","","executive","1990-05-16","1990-06-22","gov.VladaRS","",""
"gov.MDRS","Ministrstvo za delo","","executive","1991-06-28","","gov.VladaRS","",""
"gov.MDRS","Republiški sekretariat za delo Republike Slovenije","","executive","1990-06-23","1991-06-27","gov.VladaRS","",""
"gov.MDRS","Republiški komite za delo Republike Slovenije","","executive","1990-05-16","1990-06-22","gov.VladaRS","",""
"gov.MMGRS","Ministrstvo za malo gospodarstvo","","executive","1991-06-28","","gov.VladaRS","",""
"gov.MMGRS","Republiški sekretariat za drobno gospodarstvo","","executive","1990-06-23","1991-06-27","gov.VladaRS","",""
"gov.MMGRS","Republiški komite za drobno gospodarstvo Republike Slovenije","","executive","1990-05-16","1990-06-22","gov.VladaRS","",""
"gov.MPLRS","Ministrstvo za planiranje","","executive","1991-06-28","","gov.VladaRS","",""
"gov.MPLRS","Republiški sekretariat za družbeno planiranje","","executive","1990-06-23","1991-06-27","gov.VladaRS","",""
"gov.MPLRS","Republiški komite za družbeno planiranje Republike Slovenije","","executive","1990-05-16","1990-06-22","gov.VladaRS","",""
"gov.MERS","Ministrstvo za energetiko","","executive","1991-06-28","","gov.VladaRS","",""
"gov.MERS","Republiški sekretariat za energetiko Republike Slovenije","","executive","1990-06-23","1991-06-27","gov.VladaRS","",""
"gov.MERS","Republiški komite za energetiko Republike Slovenije","","executive","1990-05-16","1990-06-22","gov.VladaRS","",""
"gov.MFRS","Ministrstvo za finance Republike Slovenije","","executive","1991-06-28","","gov.VladaRS","",""
"gov.MFRS","Republiški sekretariat za finance Republike Slovenije","","executive","1990-05-16","","gov.VladaRS","",""
"gov.MIGRS","Ministrstvo za industrijo in gradbeništvo","","executive","1991-06-28","","gov.VladaRS","",""
"gov.MIGRS","Republiški sekretariat za industrijo in gradbeništvo Republike Slovenije","","executive","1990-06-23","1991-06-27","gov.VladaRS","",""
"gov.MIGRS","Republiški komite za industrijo in gradbeništvo Republike Slovenije","","executive","1990-05-16","1990-06-22","gov.VladaRS","",""
"gov.MIRS","Ministrstvo za informiranje","","executive","1991-06-28","","gov.VladaRS","",""
"gov.MIRS","Republiški sekretariat za informiranje","","executive","1990-06-23","1991-06-27","gov.VladaRS","",""
"gov.MIRS","Republiški komite za informiranje Republike Slovenije","","executive","1990-05-16","1990-06","gov.VladaRS","",""
"gov.MKGPRS","Ministrstvo za kmetijstvo, gozdarstvo in prehrano","","executive","1991-06-28","","gov.VladaRS","",""
"gov.MKGPRS","Republiški sekretariat za kmetijstvo, gozdarstvo in prehrano","","executive","1990-06-23","1991-06-27","gov.VladaRS","",""
"gov.MKGPRS","Republiški komite za kmetijstvo, gozdarstvo in prehrano Republike Slovenije","","executive","1990-05-16","1990-06-22","gov.VladaRS","",""
"gov.MKRS","Ministrstvo za kulturo","","executive","1991-06-28","","gov.VladaRS","",""
"gov.MKRS","Republiški sekretariat za kulturo Republike Slovenije","","executive","1990-06-23","1991-06-27","gov.VladaRS","",""
"gov.MKRS","Republiški komite za kulturo Republike Slovenije","","executive","1990-05-16","1990-06","gov.VladaRS","",""
"gov.MZZRS","Ministrstvo za zunanje zadeve","","executive","1991-06-28","","gov.VladaRS","",""
"gov.MZZRS","Republiški sekretariat za mednarodno sodelovanje","","executive","1990-06-23","1991-06-27","gov.VladaRS","",""
"gov.MZZRS","Republiški komite za mednarodno sodelovanje Republike Slovenije","","executive","1990-05-16","1990-06-22","gov.VladaRS","",""
"gov.MNZRS","Ministrstvo za notranje zadeve Republike Slovenije","","executive","1991-06-28","","gov.VladaRS","",""
"gov.MNZRS","Republiški sekretariat za notranje zadeve Republike Slovenije","","executive","1990-05-16","1991-06-28","gov.VladaRS","",""
"gov.MORS","Ministrstvo za obrambo Republike Slovenije","","executive","1991-06-28","","gov.VladaRS","",""
"gov.MORS","Republiški sekretariat za ljudsko obrambo Republike Slovenije","","executive","1990-05-16","1991-06-27","gov.VladaRS","",""
"gov.MPURS","Ministrstvo za pravosodje in upravo","","executive","1991-06-28","","gov.VladaRS","",""
"gov.MPURS","Republiški sekretariat za pravosodje in upravo Republike Slovenije","","executive","1990-05-16","1991-06-27","gov.VladaRS","",""
"gov.MPZRS","Ministrstvo za promet in zveze","","executive","1991-06-28","","gov.VladaRS","",""
"gov.MPZRS","Republiški sekretariat za promet in zveze","","executive","1990-06-23","1991-06-27","gov.VladaRS","",""
"gov.MPZRS","Republiški komite za promet in zveze Republike Slovenije","","executive","1990-05-16","1990-06-22","gov.VladaRS","",""
"gov.MZTRS","Ministrstvo za znanost in tehnologijo","","executive","1991-06-28","","gov.VladaRS","",""
