"persId","name","sex","birthYear"
"commentator","commentator","",""
"unknown","Unidentified speaker","",""
"KucanMilan1941","Kučan Milan","M","1941"
"PlutDusan1950","Plut Dušan","M","1950"
"ZlobecCiril1925","Zlobec Ciril","M","1925"
"MalesicMatija1933","Malešič Matija","M","1933"
"MencingerJoze1941","Mencinger Jože","M","1941"
"OcvirkAndrej1942","Ocvirk Andrej","M","1942"
"BastlMaks1941","Bastl Maks","M","1941"
"BavcarIgor1955","Bavčar Igor","M","1955"
"BrezarViktor1943","Brezar Viktor","M","1943"
"DularJanez1943","Dular Janez","M","1943"
"GodesaFranc1934","Godeša Franc","M","1934"
"JankoAlojz1943","Janko Alojz","M","1943"
"JazbinsekMiha1941","Jazbinšek Miha","M","1941"
"JerajJozef1938","Jeraj Jožef","M","1938"
"StanicStane1926","Stanič Stane","M","1926"
"KacinJelko1955","Kacin Jelko","M","1955"
"KrajncMarjan1927","Krajnc Marjan","M","1927"
"KranjecMarko1940","Kranjec Marko","M","1940"
"SesokDusan1953","Šešok Dušan","M","1953"
"OstercJozef1942","Osterc Jože","M","1942"
"PasIngo1941","Paš Ingo","M","1941"
"PuharJozica1942","Puhar Jožica","F","1942"
"RupelDimitrij1946","Rupel Dimitrij","M","1946"
"TancigPeter1944","Tancig Peter","M","1944"
"TomsicMihael1941","Tomšič Mihael","M","1941"
"UmekIgor1956","Umek Igor","M","1956"
"VenceljPeter1939","Vencelj Peter","M","1939"
"DrnovsekJanez1950","Drnovšek Janez","M","1950"
"PucnikJoze1932","Pučnik Jože","M","1932"
"RigelnikHerman1942","Rigelnik Herman","M","1942"
"GaspariMitja1951","Gaspari Mitja","M","1951"
"KozincMiha1952","Kozinc Miha","M","1952"
"GaberSlavko1958","Gaber Slavko","M","1958"
"KracunDavorin1950","Kračun Davorin","M","1950"
"TajnikarMaks1951","Tajnikar Maks","M","1951"
"ValentincicDavorin","Valentinčič Davorin","M",""
"AnderlicTone1956","Anderlič Tone","M","1956"
"BalazicMilan1958","Balažic Milan","M","1958"
"BattelliRoberto1954","Battelli Roberto","M","1954"
"BekesPeter1946","Bekeš Peter","M",""
"BohKatja1929","Boh Katja","F","1929"
"GrimsBranko1962","Grims Branko","M","1962"
"BolcarNada1941","Bolcar Nada","F","1941"
"BucarFrance1923","Bučar France","M","1923"
"BuserStanko1932","Buser Stanko","M","1932"
"CapuderAndrej1942","Capuder Andrej","M","1942"
"GajsekJanez","Gajšek Janez","M","1950"
"GerlBoris1935","Gerl Boris","M","1935"
"GolijaFranc","Golija Franc","M","1938"
"GolobicGregor1964","Golobič Gregor","M","1964"
"GosnikVane1953","Gošnik Vane","M","1953"
"GrabnerAlojz","Grabner Alojz","M","1940"
"HalbJanko1957","Halb Janko","M","1957"
"HobicJoze1955","Hobič Jože","M","1955"
"HribarSpomenka1941","Hribar Spomenka","F","1941"
"JansaJanez1958","Janša Janez","M","1958"
"JuriFranco1956","Juri Franco","M","1956"
"KmeticSlavko","Kmetič Slavko","M","1951"
"KocijancicJanez1941","Kocijančič Janez","M","1941"
"KociperStefan1952","Kociper Štefan","M","1952"
"KolesnikCiril","Kolešnik Ciril","M","1950"
"KopacJanez1961","Kopač Janez","M","1961"
"KorosecStefan1938","Korošec Štefan","M","1938"
"KreflIvan","Krefl Ivan","M","1949"
"KreftLev1951","Kreft Lev","M","1951"
"KuharicBozo","Kuharič Božo","M","1940"
"LampretJanez","Lampret Janez","M","1932"
"LavtizarBeblerDarja1950","Lavtižar Darja","F","1950"
"LogarMihaela1953","Logar Mihaela","F","1953"
"LokarSonja1948","Lokar Sonja","F","1948"
"MagajnaAndrej1952","Magajna Andrej","M","1952"
"MagdicJoze1943","Magdič Jože","M","1943"
"MencinMetka","Mencin Metka","F","1959"
"NemanicJulij1938","Nemanič Julij","M","1938"
"OcvirkMojmir","Ocvirk Mojmir","M",""
"PahorBorut1963","Pahor Borut","M","1963"
"PersakAnton1947","Peršak Anton","M","1947"
"PeterleAlojz1948","Peterle Alojz","M","1948"
"PintarEmilMilan1944","Pintar Emil","M","1944"
"PipanFranc1941","Pipan Franc","M","1941"
"PirnatRajko1951","Pirnat Rajko","M","1951"
"PivecFranc1943","Pivec Franc","M","1943"
"PlesivcnikDrago1929","Plešivčnik Drago","M","1929"
"PozarnikHubert1937","Požarnik Hubert","M","1937"
"PodobnikMarjan1960","Podobnik Marjan","M","1960"
"PolajnarIgnac1948","Polajnar Ignac","M","1948"
"PotočnikFranc1955","Potočnik Franc","M","1955"
"PotrcMiran1938","Potrč Miran","M","1938"
"PozsonecMaria1940","Pozsonec Mária","F","1940"
"PregeljZarko1956","Pregelj Žarko","M","1956"
"PretnarAleksandra1953","Pretnar Aleksandra","F","1953"
"PucnikIvan1927","Pučnik Ivan","M","1927"
"PuklVitodrag1930","Pukl Vitodrag","M","1930"
"RebercPeter1966","Reberc Peter","M","1966"
"RejcIzidor1936","Rejc Izidor","M","1936"
"RibicicCiril1947","Ribičič Ciril","M","1947"
"SemolicDusan1947","Semolič Dušan","M","1947"
"SmoleJoze1927","Smole Jože","M","1927"
"SeligoRudi1935","Šeligo Rudi","M","1935"
"SetincMile1956","Šetinc Mile","M","1956"
"SeserkoLeo1948","Šešerko Leo","M","1948"
"SinkovecMatjaz1951","Šinkovec Matjaž","M","1951"
"ZorzAndrej1963","Žorž Andrej","M","1963"
"SkolcJozef1960","Školč Jožef","M","1960"
"SukljeBorut1958","Šuklje Borut","M","1958"
"ThalerZoran1962","Thaler Zoran","M","1962"
"TomazicAnton1950","Tomažič Anton","M","1950"
"TomseIvan1942","Tomše Ivan","M","1942"
"TomsicFrance1937","Tomšič France","M","1937"
"ToplakLudvik1942","Toplak Ludvik","M","1942"
"VaupoticBogomir1963","Vaupotič Bogomir","M","1963"
"VerlicAndrej","Verlič Andrej","M","1959"
"VidovicZdenka","Vidovič Zdenka","F","1952"
"VoljcBozidar1939","Voljč Božidar","M","1939"
"ZagozenFrance1942","Zagožen France","M","1942"
"ZagarZvone","Žagar Zvone","M","1947"
"ZakeljViktor","Žakelj Viktor","M","1943"
"AtelsekIvan1928","Atelšek Ivan","M","1928"
"BevcStanislav1956","Bevc Stanislav","M","1956"
"BizjakIvan1956","Bizjak Ivan","M","1956"
"BozicDanijel1959","Božič Danijel","M","1959"
"BukovecJanos","Bukovec Janos","M","1965"
"CrnejJanez1935","Črnej Janez","M","1935"
"DezelakJanko1945","Deželak Janko","M","1945"
"DragovanSlavko1961","Dragovan Slavko","M","1961"
"DvornikMarjan1949","Dvornik Marjan","M","1949"
"FeltrinFranci1943","Feltrin Franci","M","1943"
"FlegoIsabella","Flego Isabella","F","1937"
"FrankoKarel1919","Franko Karel","M","1919"
