"orgId","type of session","number","date","notBefore","notAfter","persId","chairman","spId","nodeId","titleId","taxonomyIds","topicIds","type","text string"
"parl.DruzPolZb","seja",30,"1991-12-20","10:00:00","10:22:00","",0,"DruzPolZb.1991-12-20.s030-04.sp-499","DruzPolZb.1991-12-20.s030-04.sp-499.1",DruzPolZb.1991-12-20.s030-04.toc-item1,"","","speaker","PODPREDSEDNIK ANTON PERŠAK:"
"parl.DruzPolZb","seja",30,"1991-12-20","10:00:00","10:22:00","PersakAnton1947",1,"DruzPolZb.1991-12-20.s030-04.sp-499","DruzPolZb.1991-12-20.s030-04.sp-499.2",DruzPolZb.1991-12-20.s030-04.toc-item1,"taxonomy.2.8","topic.50","utterance","Posamezni poslanci, ki ste prisotni, nekako poskušajte še pogledati za svojimi kolegi."
"parl.DruzPolZb","seja",30,"1991-12-20","10:00:00","10:22:00","PersakAnton1947",1,"DruzPolZb.1991-12-20.s030-04.sp-499","DruzPolZb.1991-12-20.s030-04.sp-499.3",DruzPolZb.1991-12-20.s030-04.toc-item2,"taxonomy.2.8","topic.50","utterance","Poslanke in poslanci! Prej smo rekli, da bomo ob 10.15 ponovno preverjali sklepčnost, sedajle je 10.20. Predlagam, da to še enkrat naredimo, čeprav po prijavi vemo, da ni 41 ljudi in da potem damo še en odmor, v katerem poskušamo pridobiti potrebno število poslancev, ker bomo v nasprotnem primeru prisiljeni ugotoviti, da ta skupščina ni več sposobna delovati. Prosim vse navzoče, da potrdijo svojo navzočnost."
"parl.DruzPolZb","seja",30,"1991-12-20","10:00:00","10:22:00","",0,"DruzPolZb.1991-12-20.s030-04.sp-499","DruzPolZb.1991-12-20.s030-04.sp-499.4",DruzPolZb.1991-12-20.s030-04.toc-item2,"","","quorum","27 prisotnih."
"parl.DruzPolZb","seja",30,"1991-12-20","10:00:00","10:22:00","PersakAnton1947",1,"DruzPolZb.1991-12-20.s030-04.sp-499","DruzPolZb.1991-12-20.s030-04.sp-499.5",DruzPolZb.1991-12-20.s030-04.toc-item2,"taxonomy.2.8","topic.50","utterance","Predlagam še 15 minut odmora, v tem odmoru prosim, če lahko predstavniki klubov poskrbite za sklepčnost. Moram povedati, da smo v torek napovedati današnje zasedanje, da smo tudi včeraj napovedali, zato nismo posebej pošiljali vabil za današnje zasedanje, ne vem pa, kaj bo pomenilo, če skupščine ne bomo mogli izpeljati. Čez 15 minut ponovno začnemo."
"parl.DruzPolZb","seja",30,"1991-12-20","10:00:00","10:22:00","",0,"DruzPolZb.1991-12-20.s030-04.sp-499","DruzPolZb.1991-12-20.s030-04.sp-499.6",DruzPolZb.1991-12-20.s030-04.toc-item2,"","","time","Seja je bila prekinjena ob 10.22 uri in se je nadaljevala ob 10.35 uri."
"parl.DruzPolZb","seja",30,"1991-12-20","10:35:00","10:43:00","",0,"DruzPolZb.1991-12-20.s030-04.sp-500","DruzPolZb.1991-12-20.s030-04.sp-500.1",DruzPolZb.1991-12-20.s030-04.toc-item3,"","","speaker","PREDSEDNIK DR. LUDVIK TOPLAK:"
"parl.DruzPolZb","seja",30,"1991-12-20","10:35:00","10:43:00","ToplakLudvik1942",1,"DruzPolZb.1991-12-20.s030-04.sp-500","DruzPolZb.1991-12-20.s030-04.sp-500.2",DruzPolZb.1991-12-20.s030-04.toc-item3,"taxonomy.2.8","topic.50","utterance","Vsem lep pozdrav. Prosim vodje poslanskih klubov, da ugotovijo možnost sklepčnosti današnjega zbora. Stranka demokratične prenove je 8 navzočih, je možno še kaj? Iz narodnosti sta oba tukaj. Liberalno-demokratska stranka, kdo je vodja poslanskega kluba, prisotnih je šest. Liberalna stranka, enega vidimo. Narodno demokratska stranka, pridejo čez 10 minut. Demokratska stranka Slovenije, dva sta tukaj. SKZ - Ljudska stranka, pet navzočih, ali je možno še kaj več? Slovenski krščanski demokrati, navzočih šest, eden še pride. Socialdemokratska stranka Slovenije, dva sta navzoča, še kaj pričakujemo? Zeleni Slovenije, navzočih je šest. Neodvisni, eden."
"parl.DruzPolZb","seja",30,"1991-12-20","10:35:00","10:43:00","ToplakLudvik1942",1,"DruzPolZb.1991-12-20.s030-04.sp-500","DruzPolZb.1991-12-20.s030-04.sp-500.3",DruzPolZb.1991-12-20.s030-04.toc-item3,"taxonomy.2.8","topic.50","utterance","Prosim, cenjeni zbor, ugotovimo navzočnost."
"parl.DruzPolZb","seja",30,"1991-12-20","10:35:00","10:43:00","",0,"DruzPolZb.1991-12-20.s030-04.sp-500","DruzPolZb.1991-12-20.s030-04.sp-500.4",DruzPolZb.1991-12-20.s030-04.toc-item3,"","","quorum","41 prisotnih."
