"orgId","type of session","number","date","notBefore","notAfter","persId","chairman","spId","nodeId","titleId","taxonomyIds","topicIds","type","text string"
"parl.Skup","delovna seja",10,"1991-12-27","17:57:00","18:00:00","",0,"VsiZbor.1991-12-27.d010-02.sp-7","VsiZbor.1991-12-27.d010-02.sp-7.1",VsiZbor.1991-12-27.d010-02.toc-item1,"","","speaker","PREDSEDUJOČI DR. LUDVIK TOPLAK:"
"parl.Skup","delovna seja",10,"1991-12-27","17:57:00","18:00:00","ToplakLudvik1942",1,"VsiZbor.1991-12-27.d010-02.sp-7","VsiZbor.1991-12-27.d010-02.sp-7.2",VsiZbor.1991-12-27.d010-02.toc-item1,"taxonomy.2.8","topic.50","utterance","Nadaljujemo z nedokončano 10. skupno delovno sejo vseh treh zborov Skupščine Republike Slovenije."
"parl.Skup","delovna seja",10,"1991-12-27","17:57:00","18:00:00","ToplakLudvik1942",1,"VsiZbor.1991-12-27.d010-02.sp-7","VsiZbor.1991-12-27.d010-02.sp-7.3",VsiZbor.1991-12-27.d010-02.toc-item1,"taxonomy.2.8","topic.50","utterance","Ugotovimo navzočnost. Prvo prosim ugotavljamo navzočnost: Družbenopolitičen zbor"
"parl.Skup","delovna seja",10,"1991-12-27","17:57:00","18:00:00","",0,"VsiZbor.1991-12-27.d010-02.sp-7","VsiZbor.1991-12-27.d010-02.sp-7.4",VsiZbor.1991-12-27.d010-02.toc-item1,"","","quorum","40 prisotnih"
"parl.Skup","delovna seja",10,"1991-12-27","17:57:00","18:00:00","ToplakLudvik1942",1,"VsiZbor.1991-12-27.d010-02.sp-7","VsiZbor.1991-12-27.d010-02.sp-7.5",VsiZbor.1991-12-27.d010-02.toc-item1,"taxonomy.2.8","topic.50","utterance","; Zbor občin"
"parl.Skup","delovna seja",10,"1991-12-27","17:57:00","18:00:00","",0,"VsiZbor.1991-12-27.d010-02.sp-7","VsiZbor.1991-12-27.d010-02.sp-7.6",VsiZbor.1991-12-27.d010-02.toc-item1,"","","quorum","36 prisotnih"
"parl.Skup","delovna seja",10,"1991-12-27","17:57:00","18:00:00","ToplakLudvik1942",1,"VsiZbor.1991-12-27.d010-02.sp-7","VsiZbor.1991-12-27.d010-02.sp-7.7",VsiZbor.1991-12-27.d010-02.toc-item1,"taxonomy.2.8","topic.50","utterance","; Zbor združenega dela"
"parl.Skup","delovna seja",10,"1991-12-27","17:57:00","18:00:00","",0,"VsiZbor.1991-12-27.d010-02.sp-7","VsiZbor.1991-12-27.d010-02.sp-7.8",VsiZbor.1991-12-27.d010-02.toc-item1,"","","quorum","31 prisotnih"
"parl.Skup","delovna seja",10,"1991-12-27","17:57:00","18:00:00","ToplakLudvik1942",1,"VsiZbor.1991-12-27.d010-02.sp-7","VsiZbor.1991-12-27.d010-02.sp-7.9",VsiZbor.1991-12-27.d010-02.toc-item1,"taxonomy.2.8","topic.50","utterance","."
"parl.Skup","delovna seja",10,"1991-12-27","17:57:00","18:00:00","ToplakLudvik1942",1,"VsiZbor.1991-12-27.d010-02.sp-7","VsiZbor.1991-12-27.d010-02.sp-7.10",VsiZbor.1991-12-27.d010-02.toc-item1,"taxonomy.2.8","topic.50","utterance","Ugotavljam, da 10. delovna skupna seja vseh treh zborov ni sklepčna. Ponovno, dali smo znak, predlagam dve minutni odmor. Vodje poslanskih klubov pozivam, da ugotovijo možnost nadaljevanja dela."
