"orgId","type of session","number","date","notBefore","notAfter","persId","chairman","spId","nodeId","titleId","taxonomyIds","topicIds","type","text string"
"parl.ZbObc","seja",30,"1991-12-27","10:20:00","13:10:00","",0,"ZbObc.1991-12-27.s030-05.sp-568","ZbObc.1991-12-27.s030-05.sp-568.1",ZbObc.1991-12-27.s030-05.toc-item1,"","","speaker","PREDSEDNIK IVAN BIZJAK:"
"parl.ZbObc","seja",30,"1991-12-27","10:20:00","13:10:00","BizjakIvan1956",1,"ZbObc.1991-12-27.s030-05.sp-568","ZbObc.1991-12-27.s030-05.sp-568.2",ZbObc.1991-12-27.s030-05.toc-item1,"taxonomy.2.8","topic.50","utterance","Spoštovane poslanke in poslanci, gospe in gospodje! Pričenjam nadaljevanje 30. seje Zbora občin Skupščine Republike Slovenije, ki smo jo pričeli 17. tega meseca, nadaljevali pa 18., 20. in 23. decembra."
"parl.ZbObc","seja",30,"1991-12-27","10:20:00","13:10:00","BizjakIvan1956",1,"ZbObc.1991-12-27.s030-05.sp-568","ZbObc.1991-12-27.s030-05.sp-568.3",ZbObc.1991-12-27.s030-05.toc-item1,"taxonomy.2.8","topic.50","utterance","Za današnjo sejo zbora so se opravičili: Vika Potočnik, Ivan Atelšek, Stanislav Brglez, Janez Kramberger, Miloš Senčur, Vili Žižek, Aurelio Juri, Janez Jug, Niko Rainer, Metod Šonc, Alojzij Jamnik, Alojzij Metelko, Peter Jamnikar, Franc Ogris, Janos Bukovec, Marko Stadler in Janez Stariha."
"parl.ZbObc","seja",30,"1991-12-27","10:20:00","13:10:00","BizjakIvan1956",1,"ZbObc.1991-12-27.s030-05.sp-568","ZbObc.1991-12-27.s030-05.sp-568.4",ZbObc.1991-12-27.s030-05.toc-item1,"taxonomy.2.8","topic.50","utterance","Po podatkih službe na seji je prisotnih 44 delegatov. Prosim, da ugotovimo še navzočnost v dvorani!"
"parl.ZbObc","seja",30,"1991-12-27","10:20:00","13:10:00","",0,"ZbObc.1991-12-27.s030-05.sp-568","ZbObc.1991-12-27.s030-05.sp-568.5",ZbObc.1991-12-27.s030-05.toc-item1,"","","quorum","45 prisotnih."
"parl.ZbObc","seja",30,"1991-12-27","10:20:00","13:10:00","BizjakIvan1956",1,"ZbObc.1991-12-27.s030-05.sp-568","ZbObc.1991-12-27.s030-05.sp-568.6",ZbObc.1991-12-27.s030-05.toc-item1,"taxonomy.2.8","topic.50","utterance","Ugotavljam, daje tako zbor sklepčen in da lahko pravno veljavno razpravlja in sklepa."
"parl.ZbObc","seja",30,"1991-12-27","10:20:00","13:10:00","BizjakIvan1956",1,"ZbObc.1991-12-27.s030-05.sp-568","ZbObc.1991-12-27.s030-05.sp-568.7",ZbObc.1991-12-27.s030-05.toc-item2,"taxonomy.2.8","topic.52","utterance","Za današnje, že četrto nadaljevanje 30. seje nam je ostalo še zelo obsežno delo. Pri večini točk dnevnega reda smo sicer opravili razpravo, toda zaradi številnih amandmajev smo odločanje odložili. Pri številnih točkah, v zvezi z nekaterimi neusklajenimi odločitvami med zbori, pa moramo bodisi opraviti ponovno obravnavo, bodisi izvesti predpisani usklajevalni postopek. Nekaterih točk iz dnevnega reda pa sploh še nismo pričeli obravnavati. Na primer točki 14 in 17 dnevnega reda, aha od 14 do 17. Glede na takšno stanje in ker je preostalo do konca leta, ki bi morali biti nekateri akti dokončno sprejeti in uveljavljeni s 1.1.1992, smo predsedniki zborov skupaj z Vlado Republike Slovenije poskušali doseči prioritetno obravnavanih aktov in predlagati zborom, da bi na tem nadaljevanju - danes zasedamo vsi trije zbori - poskušali zaključiti obravnavo in morebiti usklajevanje, predvsem v naslednjih zadevah, po prioriteti, kot jo bom našteval. Najprej predlog zakona o pokojninskem in invalidskem zavarovanju, pri katerem smo že izvolili delovno skupino, ki je proučila različno sprejete amandmaje v posameznih zborih in nam je že predložila svoje poročilo, s predlogi za ponovno obravnavo tega zakona. S tem poročilo bi pravzaprav začeli."
"parl.ZbObc","seja",30,"1991-12-27","10:20:00","13:10:00","BizjakIvan1956",1,"ZbObc.1991-12-27.s030-05.sp-568","ZbObc.1991-12-27.s030-05.sp-568.8",ZbObc.1991-12-27.s030-05.toc-item2,"taxonomy.2.8","topic.52","utterance","Drugi sklop so tako imenovani davčni zakoni, to sta zdaj še zakon o dohodnini in zakon o financiranju javne porabe, pri katerih smo med zbori neusklajeni, ker gre pri teh dveh zakonih le za manjše razlike, menim, da jih je mogoče še danes uskladiti. Zato predlagam, da kar takoj izvolimo pet delegatov v delovno skupino, ki bo proučila te razlike in pripravila predlog za ponovno obravnavo oziroma uskladitev teh aktov."
"parl.ZbObc","seja",30,"1991-12-27","10:20:00","13:10:00","BizjakIvan1956",1,"ZbObc.1991-12-27.s030-05.sp-568","ZbObc.1991-12-27.s030-05.sp-568.9",ZbObc.1991-12-27.s030-05.toc-item2,"taxonomy.2.8","topic.52","utterance","Prosil si za predloge za člane te delovne skupine: Branko Novak, je en predlog, Razdevšek, Grošelj, Ivanušič, Feltrin ali Deželak. Vsi imamo obveznosti danes tukaj. Dobro. Potem bi podpredsednika Lukača predlagal. Zdaj imamo pet imen: Novak, Razdevšek, Grošelj, Ivanušič in Lukač. Ima še kdo kak spreminjevali predlog?"
"parl.ZbObc","seja",30,"1991-12-27","10:20:00","13:10:00","",0,"ZbObc.1991-12-27.s030-05.sp-568","ZbObc.1991-12-27.s030-05.sp-568.10",ZbObc.1991-12-27.s030-05.toc-item2,"","","debate","Ne."
"parl.ZbObc","seja",30,"1991-12-27","10:20:00","13:10:00","BizjakIvan1956",1,"ZbObc.1991-12-27.s030-05.sp-568","ZbObc.1991-12-27.s030-05.sp-568.11",ZbObc.1991-12-27.s030-05.toc-item2,"taxonomy.2.8","topic.52","utterance","Potem dajem tako sestavo delovne skupine na glasovanje."
"parl.ZbObc","seja",30,"1991-12-27","10:20:00","13:10:00","BizjakIvan1956",1,"ZbObc.1991-12-27.s030-05.sp-568","ZbObc.1991-12-27.s030-05.sp-568.12",ZbObc.1991-12-27.s030-05.toc-item2,"taxonomy.2.8","topic.52","utterance","Kdo je za tako sestavo? Ugotavljam, da je velika večina za. Ali je kdo proti taki sestavi?"
"parl.ZbObc","seja",30,"1991-12-27","10:20:00","13:10:00","",0,"ZbObc.1991-12-27.s030-05.sp-568","ZbObc.1991-12-27.s030-05.sp-568.13",ZbObc.1991-12-27.s030-05.toc-item2,"","","vote","Nihče."
"parl.ZbObc","seja",30,"1991-12-27","10:20:00","13:10:00","BizjakIvan1956",1,"ZbObc.1991-12-27.s030-05.sp-568","ZbObc.1991-12-27.s030-05.sp-568.14",ZbObc.1991-12-27.s030-05.toc-item2,"taxonomy.2.8","topic.52","utterance","Se je kdo vzdržal?"
"parl.ZbObc","seja",30,"1991-12-27","10:20:00","13:10:00","",0,"ZbObc.1991-12-27.s030-05.sp-568","ZbObc.1991-12-27.s030-05.sp-568.15",ZbObc.1991-12-27.s030-05.toc-item2,"","","vote","Nihče."
"parl.ZbObc","seja",30,"1991-12-27","10:20:00","13:10:00","BizjakIvan1956",1,"ZbObc.1991-12-27.s030-05.sp-568","ZbObc.1991-12-27.s030-05.sp-568.16",ZbObc.1991-12-27.s030-05.toc-item2,"taxonomy.2.8","topic.52","utterance","Ugotavljam, da je ta skupina soglasno izvoljena."
