"orgId","type of session","number","date","notBefore","notAfter","persId","chairman","spId","nodeId","titleId","taxonomyIds","topicIds","type","text string"
"parl.ZbZdruDel","seja",47,"1992-07-16","10:20:00","11:50:00","",0,"ZbZdruDel.1992-07-16.s047-01.sp-1","ZbZdruDel.1992-07-16.s047-01.sp-1.2",,"","","head","ZBOR ZDRUŽENEGA DELA SKUPŠČINE REPUBLIKE SLOVENIJE"
"parl.ZbZdruDel","seja",47,"1992-07-16","10:20:00","11:50:00","",0,"ZbZdruDel.1992-07-16.s047-01.sp-1","ZbZdruDel.1992-07-16.s047-01.sp-1.3",,"","","head","47. seja"
"parl.ZbZdruDel","seja",47,"1992-07-16","10:20:00","11:50:00","",0,"ZbZdruDel.1992-07-16.s047-01.sp-1","ZbZdruDel.1992-07-16.s047-01.sp-1.4",,"","","date","16. in 29. julij 1992"
"parl.ZbZdruDel","seja",47,"1992-07-16","10:20:00","11:50:00","",0,"ZbZdruDel.1992-07-16.s047-01.sp-1","ZbZdruDel.1992-07-16.s047-01.sp-1.5",,"","","president","Sejo je vodil Jože Zupančič, predsednik Zbora združenega dela."
"parl.ZbZdruDel","seja",47,"1992-07-16","10:20:00","11:50:00","",0,"ZbZdruDel.1992-07-16.s047-01.sp-1","ZbZdruDel.1992-07-16.s047-01.sp-1.6",,"","","time","Seja se je pričela ob 10.20 uri."
"parl.ZbZdruDel","seja",47,"1992-07-16","10:20:00","11:50:00","",0,"ZbZdruDel.1992-07-16.s047-01.sp-2","ZbZdruDel.1992-07-16.s047-01.sp-2.1",ZbZdruDel.1992-07-16.s047-01.toc-item1,"","","speaker","PREDSEDNIK JOŽE ZUPANČIČ:"
"parl.ZbZdruDel","seja",47,"1992-07-16","10:20:00","11:50:00","ZupancicJoze1936",1,"ZbZdruDel.1992-07-16.s047-01.sp-2","ZbZdruDel.1992-07-16.s047-01.sp-2.2",ZbZdruDel.1992-07-16.s047-01.toc-item1,"taxonomy.2.8","topic.50","utterance","Poslanke in poslanci, cenjeni gostje in predstavniki javnega obveščanja, pričenjamo z našo 47. sejo Zbora združenega dela. Na današnji seji je sedaj prisotnih 53 poslancev, nekaj jih je še na poti. Opravičilo se jih je 12. Ugotavljam, da je toliko prisotnih, da lahko pričnemo z delom. Zbor je sklepčen in pravno veljavno razpravlja in sklepa."
"parl.ZbZdruDel","seja",47,"1992-07-16","10:20:00","11:50:00","ZupancicJoze1936",1,"ZbZdruDel.1992-07-16.s047-01.sp-2","ZbZdruDel.1992-07-16.s047-01.sp-2.3",ZbZdruDel.1992-07-16.s047-01.toc-item2,"taxonomy.2.8","topic.51","utterance","Pred pričetkom najprej nekaj obvestil. Z namenom, da si lahko načrtujete delo in dopust, vam sporočam, da je že sklicana 48. seja Zbora združenega dela za 22. in 23. julij ter 49. seja zbora za 29. in 30. julij. To se pravi, vsak teden, upam, da po en dan, lahko pa seveda tudi po dva dneva. Mi bomo danes itak obravnavali predvsem to našo volilno zakonodajo in iskreno vas prosim, da tisti, ki še imate kakšen pisni amandma, to predhodno opravite, tako da bi imeli tudi to pripravljeno."
"parl.ZbZdruDel","seja",47,"1992-07-16","10:20:00","11:50:00","ZupancicJoze1936",1,"ZbZdruDel.1992-07-16.s047-01.sp-2","ZbZdruDel.1992-07-16.s047-01.sp-2.4",ZbZdruDel.1992-07-16.s047-01.toc-item2,"taxonomy.2.8","topic.51","utterance","Za vse neusklajene akte smo se dogovorili na sestanku vodstva Skupščine Republike Slovenije in poslanskih klubov, da bomo imenovali eno samo usklajevalno skupino, in sicer za naslednje akte: predlog zakona o spremembah in dopolnitvah zakona o bankah; predlog zakona o trajnem prenehanju izkoriščanja uranove rude in preprečevanja posledic rudarjenja v rudniku urana Žirovski vrh; predlog zakona o jamstvu Republike Slovenije Ljubljanski banki, delniški družbi za njene obveznosti pri najemanju kreditov za ekološke energetske objekte; predlog za izdajo zakona o nezdružljivosti opravljanja javne funkcije s pridobitno dejavnostjo z osnutkom zakona; predlog za izdajo zakona o uporabi grba, zastave, himne Republike Slovenije z osnutkom zakona; osnutek zakona o javnih glasilih; predlog za izdajo zakona o obrestni meri z osnutkom zakona."
"parl.ZbZdruDel","seja",47,"1992-07-16","10:20:00","11:50:00","ZupancicJoze1936",1,"ZbZdruDel.1992-07-16.s047-01.sp-2","ZbZdruDel.1992-07-16.s047-01.sp-2.5",ZbZdruDel.1992-07-16.s047-01.toc-item2,"taxonomy.2.8","topic.51","utterance","Predlagam, da v tej skupini delajo naslednji poslanci: Bogo Rogina, Valentin Prelovec, Viljem Mak, Franc Ban in Franci Grašič. Želi o tem predlogu kdo razpravljati?"
"parl.ZbZdruDel","seja",47,"1992-07-16","10:20:00","11:50:00","",0,"ZbZdruDel.1992-07-16.s047-01.sp-2","ZbZdruDel.1992-07-16.s047-01.sp-2.6",ZbZdruDel.1992-07-16.s047-01.toc-item2,"","","vote","Nihče."
"parl.ZbZdruDel","seja",47,"1992-07-16","10:20:00","11:50:00","ZupancicJoze1936",1,"ZbZdruDel.1992-07-16.s047-01.sp-2","ZbZdruDel.1992-07-16.s047-01.sp-2.7",ZbZdruDel.1992-07-16.s047-01.toc-item2,"taxonomy.2.8","topic.51","utterance","Prosil bi vas, da vseeno ugotovimo, koliko nas je prisotnih."
"parl.ZbZdruDel","seja",47,"1992-07-16","10:20:00","11:50:00","",0,"ZbZdruDel.1992-07-16.s047-01.sp-2","ZbZdruDel.1992-07-16.s047-01.sp-2.8",ZbZdruDel.1992-07-16.s047-01.toc-item2,"","","vote","51 poslancev."
"parl.ZbZdruDel","seja",47,"1992-07-16","10:20:00","11:50:00","ZupancicJoze1936",1,"ZbZdruDel.1992-07-16.s047-01.sp-2","ZbZdruDel.1992-07-16.s047-01.sp-2.9",ZbZdruDel.1992-07-16.s047-01.toc-item2,"taxonomy.2.8","topic.51","utterance","Kdo je za ta predlog, za to skupino?"
"parl.ZbZdruDel","seja",47,"1992-07-16","10:20:00","11:50:00","",0,"ZbZdruDel.1992-07-16.s047-01.sp-2","ZbZdruDel.1992-07-16.s047-01.sp-2.10",ZbZdruDel.1992-07-16.s047-01.toc-item2,"","","vote","51 poslancev."
"parl.ZbZdruDel","seja",47,"1992-07-16","10:20:00","11:50:00","ZupancicJoze1936",1,"ZbZdruDel.1992-07-16.s047-01.sp-2","ZbZdruDel.1992-07-16.s047-01.sp-2.11",ZbZdruDel.1992-07-16.s047-01.toc-item2,"taxonomy.2.8","topic.51","utterance","Ugotavljam, da smo predlog skupine sprejeli soglasno. Ko bomo za ta usklajevanja prejeli poročila posameznih delovnih skupin za usklajevanje, bomo takoj prešli tudi na usklajevanje aktov. Ta usklajevanja bi v današnji prečiščen dnevni red vključili kot posebno točko - usklajevanje neusklajenih aktov med zbori, zaradi kasnejšega pregleda zapisnikov."
"parl.ZbZdruDel","seja",47,"1992-07-16","10:20:00","11:50:00","ZupancicJoze1936",1,"ZbZdruDel.1992-07-16.s047-01.sp-2","ZbZdruDel.1992-07-16.s047-01.sp-2.12",ZbZdruDel.1992-07-16.s047-01.toc-item2,"taxonomy.2.8","topic.51","utterance","In še naslednje: ker 46. seje zbora še nismo zaključili, za 1. točko še ni napisan zapisnik te seje, zato bi ga odobrili na eni od naslednjih sej."
"parl.ZbZdruDel","seja",47,"1992-07-16","10:20:00","11:50:00","ZupancicJoze1936",1,"ZbZdruDel.1992-07-16.s047-01.sp-2","ZbZdruDel.1992-07-16.s047-01.sp-2.13",ZbZdruDel.1992-07-16.s047-01.toc-item2,"taxonomy.2.8","topic.51","utterance","Dnevni red današnje seje je isti kot v sklicu seje, ki ste ga prejeli, samo v 1. točki se črta zapisnik 46. seje zbora, kot sem že povedal, in da bi dodali še točko - usklajevanja neusklajenih aktov med zbori, in sicer pred pobudami, predlogi in vprašanji poslancev. Osnutek dnevnega reda pa ste prejeli danes na klop."
"parl.ZbZdruDel","seja",47,"1992-07-16","10:20:00","11:50:00","ZupancicJoze1936",1,"ZbZdruDel.1992-07-16.s047-01.sp-2","ZbZdruDel.1992-07-16.s047-01.sp-2.14",ZbZdruDel.1992-07-16.s047-01.toc-item2,"taxonomy.2.8","topic.51","utterance","Pričenjam razpravo o dnevnem redu. Besedo ima Andrej Šter."
