"orgId","type of session","number","date","notBefore","notAfter","persId","chairman","spId","nodeId","titleId","taxonomyIds","topicIds","type","text string"
"parl.ZbZdruDel","seja",55,"1992-11-04","10:15:00","13:23:00","",0,"ZbZdruDel.1992-11-04.s055-03.sp-276","ZbZdruDel.1992-11-04.s055-03.sp-276.1",ZbZdruDel.1992-11-04.s055-03.toc-item1,"","","speaker","PREDSEDNIK JOŽE ZUPANČIČ:"
"parl.ZbZdruDel","seja",55,"1992-11-04","10:15:00","13:23:00","ZupancicJoze1936",1,"ZbZdruDel.1992-11-04.s055-03.sp-276","ZbZdruDel.1992-11-04.s055-03.sp-276.2",ZbZdruDel.1992-11-04.s055-03.toc-item1,"taxonomy.2.8","topic.50","utterance","Spoštovane poslanke, poslanci pričenjamo z nadaljevanjem 55. seje Zbora združenega dela, ki smo jo prekinili 29. oktobra zvečer. Na današnjem nadaljevanju seje je prisotnih 46 poslancev, 8 se jih je opravičilo. Ugotavljam, da je toliko poslancev, da lahko sklepčno in pravno veljavno razpravljamo ter sklepamo. Na nadaljevanje seje smo k posameznim točkam dnevnega reda povabili predstavnike Vlade Republike Slovenije, Gospodarske zbornice, Zadružne zveze in sindikatov na republiški ravni. S pošiljko 30.10. ste prejeli obvestilo z dnevnim redom za nadaljevanje seje in ga zdaj ne bom bral. Predvidena usklajevanja nekaterih aktov, katere akte naj bi usklajevali, je tudi razvidno iz obvestila, pa bomo obravnavali, ko bomo dobili poročila skupnih usklajevalnih komisij vseh treh zborov."
"parl.ZbZdruDel","seja",55,"1992-11-04","10:15:00","13:23:00","ZupancicJoze1936",1,"ZbZdruDel.1992-11-04.s055-03.sp-276","ZbZdruDel.1992-11-04.s055-03.sp-276.3",ZbZdruDel.1992-11-04.s055-03.toc-item2,"taxonomy.2.8","topic.51","utterance","Predlagam, da imenujemo skupno komisijo za dnevni red za uvrstitev predloga zakona o Vladi Republike Slovenije, ki ga je predložila Vlada Republike Slovenije. V skupino predlagam: Zdravka Zabukovca, Majdo Oblak, Andreja Štera, Marjana Vilfana in Iva Daneua. Ker Andrej Šter ni tu prisoten - namesto Andreja Štera mogoče gospod Marko Jaklič. Marjan Vilfan je; gospod Lovrenčič namesto Iva Daneua."
"parl.ZbZdruDel","seja",55,"1992-11-04","10:15:00","13:23:00","ZupancicJoze1936",1,"ZbZdruDel.1992-11-04.s055-03.sp-276","ZbZdruDel.1992-11-04.s055-03.sp-276.4",ZbZdruDel.1992-11-04.s055-03.toc-item2,"taxonomy.2.8","topic.51","utterance","Predlagam, da glasujemo, ali pa še prej razpravljamo o komisiji za dnevni red; Zdravko Zabukovec, Majda Oblak, Marko Jaklič, Marjan Vilfan in Franci Lovrenčič. Želi o tem kdo razpravljati?"
"parl.ZbZdruDel","seja",55,"1992-11-04","10:15:00","13:23:00","",0,"ZbZdruDel.1992-11-04.s055-03.sp-276","ZbZdruDel.1992-11-04.s055-03.sp-276.5",ZbZdruDel.1992-11-04.s055-03.toc-item2,"","","debate","Ne."
"parl.ZbZdruDel","seja",55,"1992-11-04","10:15:00","13:23:00","ZupancicJoze1936",1,"ZbZdruDel.1992-11-04.s055-03.sp-276","ZbZdruDel.1992-11-04.s055-03.sp-276.6",ZbZdruDel.1992-11-04.s055-03.toc-item2,"taxonomy.2.8","topic.51","utterance","Ugotovimo sklepčnost!"
"parl.ZbZdruDel","seja",55,"1992-11-04","10:15:00","13:23:00","",0,"ZbZdruDel.1992-11-04.s055-03.sp-276","ZbZdruDel.1992-11-04.s055-03.sp-276.7",ZbZdruDel.1992-11-04.s055-03.toc-item2,"","","quorum","42 prisotnih"
"parl.ZbZdruDel","seja",55,"1992-11-04","10:15:00","13:23:00","ZupancicJoze1936",1,"ZbZdruDel.1992-11-04.s055-03.sp-276","ZbZdruDel.1992-11-04.s055-03.sp-276.8",ZbZdruDel.1992-11-04.s055-03.toc-item2,"taxonomy.2.8","topic.51","utterance","."
"parl.ZbZdruDel","seja",55,"1992-11-04","10:15:00","13:23:00","ZupancicJoze1936",1,"ZbZdruDel.1992-11-04.s055-03.sp-276","ZbZdruDel.1992-11-04.s055-03.sp-276.9",ZbZdruDel.1992-11-04.s055-03.toc-item2,"taxonomy.2.8","topic.51","utterance","Kdor je za, naj, prosim, glasuje."
"parl.ZbZdruDel","seja",55,"1992-11-04","10:15:00","13:23:00","",0,"ZbZdruDel.1992-11-04.s055-03.sp-276","ZbZdruDel.1992-11-04.s055-03.sp-276.10",ZbZdruDel.1992-11-04.s055-03.toc-item2,"","","vote","40 poslancev."
"parl.ZbZdruDel","seja",55,"1992-11-04","10:15:00","13:23:00","ZupancicJoze1936",1,"ZbZdruDel.1992-11-04.s055-03.sp-276","ZbZdruDel.1992-11-04.s055-03.sp-276.11",ZbZdruDel.1992-11-04.s055-03.toc-item2,"taxonomy.2.8","topic.51","utterance","Je kdo proti?"
"parl.ZbZdruDel","seja",55,"1992-11-04","10:15:00","13:23:00","",0,"ZbZdruDel.1992-11-04.s055-03.sp-276","ZbZdruDel.1992-11-04.s055-03.sp-276.12",ZbZdruDel.1992-11-04.s055-03.toc-item2,"","","vote","1 poslanec."
"parl.ZbZdruDel","seja",55,"1992-11-04","10:15:00","13:23:00","ZupancicJoze1936",1,"ZbZdruDel.1992-11-04.s055-03.sp-276","ZbZdruDel.1992-11-04.s055-03.sp-276.13",ZbZdruDel.1992-11-04.s055-03.toc-item2,"taxonomy.2.8","topic.51","utterance","Se je kdo vzdržal?"
"parl.ZbZdruDel","seja",55,"1992-11-04","10:15:00","13:23:00","",0,"ZbZdruDel.1992-11-04.s055-03.sp-276","ZbZdruDel.1992-11-04.s055-03.sp-276.14",ZbZdruDel.1992-11-04.s055-03.toc-item2,"","","vote","1 poslanec."
"parl.ZbZdruDel","seja",55,"1992-11-04","10:15:00","13:23:00","ZupancicJoze1936",1,"ZbZdruDel.1992-11-04.s055-03.sp-276","ZbZdruDel.1992-11-04.s055-03.sp-276.15",ZbZdruDel.1992-11-04.s055-03.toc-item2,"taxonomy.2.8","topic.51","utterance","Ugotavljam, da je predlog za skupno komisijo sprejet z večino glasov."
"parl.ZbZdruDel","seja",55,"1992-11-04","10:15:00","13:23:00","ZupancicJoze1936",1,"ZbZdruDel.1992-11-04.s055-03.sp-276","ZbZdruDel.1992-11-04.s055-03.sp-276.16",ZbZdruDel.1992-11-04.s055-03.toc-item2,"taxonomy.2.8","topic.51","utterance","Usklajevalno komisijo za usklajevanje predloga zakona o socialnem varstvu smo imenovali že na prejšnji seji. V komisiji so poslanci in poslanke: Peter Starc, Angelca Žerovnik, Marija Lončar, Jože Arzenšek in Anton Horvat. Samo toliko, da vas spomnim. Predlagam tudi, da za uskladitev predloga zakona o odkupu terjatev do Iraka in Zvezne direkcije za promet in rezerve izdelkov posebnega pomena imenujemo iste poslance, kot so sodelovali v skupini poslancev za prvo uskladitev. V skupini poslancev so bili: Stanislav Brglez, Jože Studenčnik, Viljem Mak, Franc Ban in Ivo Daneu. Želi še kdo?"
"parl.ZbZdruDel","seja",55,"1992-11-04","10:15:00","13:23:00","ZupancicJoze1936",1,"ZbZdruDel.1992-11-04.s055-03.sp-276","ZbZdruDel.1992-11-04.s055-03.sp-276.17",ZbZdruDel.1992-11-04.s055-03.toc-item2,"taxonomy.2.8","topic.51","utterance","Kdor je za, naj, prosim, glasuje."
"parl.ZbZdruDel","seja",55,"1992-11-04","10:15:00","13:23:00","",0,"ZbZdruDel.1992-11-04.s055-03.sp-276","ZbZdruDel.1992-11-04.s055-03.sp-276.18",ZbZdruDel.1992-11-04.s055-03.toc-item2,"","","vote","42 poslancev."
"parl.ZbZdruDel","seja",55,"1992-11-04","10:15:00","13:23:00","ZupancicJoze1936",1,"ZbZdruDel.1992-11-04.s055-03.sp-276","ZbZdruDel.1992-11-04.s055-03.sp-276.19",ZbZdruDel.1992-11-04.s055-03.toc-item2,"taxonomy.2.8","topic.51","utterance","Je kdo proti?"
"parl.ZbZdruDel","seja",55,"1992-11-04","10:15:00","13:23:00","",0,"ZbZdruDel.1992-11-04.s055-03.sp-276","ZbZdruDel.1992-11-04.s055-03.sp-276.20",ZbZdruDel.1992-11-04.s055-03.toc-item2,"","","vote","1 poslanec."
"parl.ZbZdruDel","seja",55,"1992-11-04","10:15:00","13:23:00","ZupancicJoze1936",1,"ZbZdruDel.1992-11-04.s055-03.sp-276","ZbZdruDel.1992-11-04.s055-03.sp-276.21",ZbZdruDel.1992-11-04.s055-03.toc-item2,"taxonomy.2.8","topic.51","utterance","Se je kdo vzdržal?"
"parl.ZbZdruDel","seja",55,"1992-11-04","10:15:00","13:23:00","",0,"ZbZdruDel.1992-11-04.s055-03.sp-276","ZbZdruDel.1992-11-04.s055-03.sp-276.22",ZbZdruDel.1992-11-04.s055-03.toc-item2,"","","vote","1 poslanec."
"parl.ZbZdruDel","seja",55,"1992-11-04","10:15:00","13:23:00","ZupancicJoze1936",1,"ZbZdruDel.1992-11-04.s055-03.sp-276","ZbZdruDel.1992-11-04.s055-03.sp-276.23",ZbZdruDel.1992-11-04.s055-03.toc-item2,"taxonomy.2.8","topic.51","utterance","Ugotavljam, da je predlog sprejet z večino glasov."
"parl.ZbZdruDel","seja",55,"1992-11-04","10:15:00","13:23:00","ZupancicJoze1936",1,"ZbZdruDel.1992-11-04.s055-03.sp-276","ZbZdruDel.1992-11-04.s055-03.sp-276.24",ZbZdruDel.1992-11-04.s055-03.toc-item2,"taxonomy.2.8","topic.51","utterance","Predlagam, da bi ti poslanci - delajo tudi v skupini poslancev za uskladitev predloga zakona o najetju tujega kredita za nakup opreme za potrebe Republiške uprave za zračno plovbo. To bo po vsej verjetnosti sočasno in bi prosil, da se tudi s tem strinjate. Se strinjate. Hvala lepa."
