"orgId","type of session","number","date","notBefore","notAfter","persId","chairman","spId","nodeId","titleId","taxonomyIds","topicIds","type","text string"
"parl.ZbObc","seja",43,"1992-11-26","11:20:00","","",0,"ZbObc.1992-11-26.s043-07.sp-434","ZbObc.1992-11-26.s043-07.sp-434.1",ZbObc.1992-11-26.s043-07.toc-item1,"","","speaker","PREDSEDNIK IVAN BIZJAK:"
"parl.ZbObc","seja",43,"1992-11-26","11:20:00","","BizjakIvan1956",1,"ZbObc.1992-11-26.s043-07.sp-434","ZbObc.1992-11-26.s043-07.sp-434.2",ZbObc.1992-11-26.s043-07.toc-item1,"taxonomy.4.3.4","topic.475","utterance","Gremo najprej opraviti še tisto, kar nam je ostalo s 43. seje zbora. To je odločanje v zvezi z INTERPELACIJO O DELU IN ODGOVORNOSTI MINISTRA ZA NOTRANJE ZADEVE GOSPODA IGORJA BAVČARJA in: B. PREDLOG - OBTOŽBE KRŠITVE USTAVE IN ZAKONA ZOPER MINISTRA ZA NOTRANJE ZADEVE GOSPODA IGORJA BAVČARJA - 11. TOČKA DNEVNEGA REDA 43. SEJE ZBORA."
"parl.ZbObc","seja",43,"1992-11-26","11:20:00","","BizjakIvan1956",1,"ZbObc.1992-11-26.s043-07.sp-434","ZbObc.1992-11-26.s043-07.sp-434.3",ZbObc.1992-11-26.s043-07.toc-item1,"taxonomy.4.3.4","topic.475","utterance","Delovna skupina v sestavi Janez Lukač, Marjan Dvornik in Franc Lovšin, ki jo je zbor imenoval za pripravo predloga sklepa v skladu s poslovnikom, nam je danes predložila v predlog ugotovitev in sklepa, ki naj bi ju zbor sprejel. Želi besedo predstavnik skupine, ki je sklep pripravila? Ne. Želi v zvezi s predlogom, ugotovitvijo in sklepom kdo razpravljati? Ne želi. Potem prehajamo na glasovanje. Ugotovimo prisotnost. Smo vsi registrirali prisotnost? 36 nas je samo. 38. Ja, poglejmo še enkrat prisotnost. Ročno štetje, pardon, se opravičujem. Prosim, da vsi pritisnemo vsak svojo tipko. Smo? Smo vsi pritisnili na tipko? 39 prisotnih. Ni dovolj. Zgodaj se je začelo, zgodaj. Ja, gremo zdaj še enkrat ugotoviti prisotnost. Smo."
"parl.ZbObc","seja",43,"1992-11-26","11:20:00","","",0,"ZbObc.1992-11-26.s043-07.sp-434","ZbObc.1992-11-26.s043-07.sp-434.4",ZbObc.1992-11-26.s043-07.toc-item1,"","","quorum","43 prisotnih."
"parl.ZbObc","seja",43,"1992-11-26","11:20:00","","BizjakIvan1956",1,"ZbObc.1992-11-26.s043-07.sp-434","ZbObc.1992-11-26.s043-07.sp-434.5",ZbObc.1992-11-26.s043-07.toc-item1,"taxonomy.4.3.4","topic.475","utterance","Kdo je za predlog ugotovitve in sklepa v zvezi z interpelacijo, kakor ste to dobili na klop?"
"parl.ZbObc","seja",43,"1992-11-26","11:20:00","","BizjakIvan1956",1,"ZbObc.1992-11-26.s043-07.sp-434","ZbObc.1992-11-26.s043-07.sp-434.6",ZbObc.1992-11-26.s043-07.toc-item1,"taxonomy.4.3.4","topic.475","utterance","Kdo je za?"
"parl.ZbObc","seja",43,"1992-11-26","11:20:00","","",0,"ZbObc.1992-11-26.s043-07.sp-434","ZbObc.1992-11-26.s043-07.sp-434.7",ZbObc.1992-11-26.s043-07.toc-item1,"","","vote","36 poslancev."
"parl.ZbObc","seja",43,"1992-11-26","11:20:00","","BizjakIvan1956",1,"ZbObc.1992-11-26.s043-07.sp-434","ZbObc.1992-11-26.s043-07.sp-434.8",ZbObc.1992-11-26.s043-07.toc-item1,"taxonomy.4.3.4","topic.475","utterance","Je kdo proti?"
"parl.ZbObc","seja",43,"1992-11-26","11:20:00","","",0,"ZbObc.1992-11-26.s043-07.sp-434","ZbObc.1992-11-26.s043-07.sp-434.9",ZbObc.1992-11-26.s043-07.toc-item1,"","","vote","4 poslanci."
"parl.ZbObc","seja",43,"1992-11-26","11:20:00","","BizjakIvan1956",1,"ZbObc.1992-11-26.s043-07.sp-434","ZbObc.1992-11-26.s043-07.sp-434.10",ZbObc.1992-11-26.s043-07.toc-item1,"taxonomy.4.3.4","topic.475","utterance","Se je kdo vzdržal?"
"parl.ZbObc","seja",43,"1992-11-26","11:20:00","","",0,"ZbObc.1992-11-26.s043-07.sp-434","ZbObc.1992-11-26.s043-07.sp-434.11",ZbObc.1992-11-26.s043-07.toc-item1,"","","vote","12 poslancev."
"parl.ZbObc","seja",43,"1992-11-26","11:20:00","","BizjakIvan1956",1,"ZbObc.1992-11-26.s043-07.sp-434","ZbObc.1992-11-26.s043-07.sp-434.12",ZbObc.1992-11-26.s043-07.toc-item1,"taxonomy.4.3.4","topic.475","utterance","Ugotavljam, da je z večino glasov bil predlog ugotovitve in sklepa sprejet."
"parl.ZbObc","seja",43,"1992-11-26","11:20:00","","BizjakIvan1956",1,"ZbObc.1992-11-26.s043-07.sp-434","ZbObc.1992-11-26.s043-07.sp-434.13",ZbObc.1992-11-26.s043-07.toc-item1,"taxonomy.4.3.4","topic.475","utterance","Ker je bil s tem dnevni red izčrpan, je predsednik na nadaljevanju seje dne 26. novembra 1992, zaključil 43. sejo Zbora občin Skupščine Republike Slovenije."
