"topicId","topic","taxonomyId level 1","taxonomy level 1","taxonomyId level 2","taxonomy level 2","taxonomyId level 3","taxonomy level 3","taxonomyId level 4","taxonomy level 4","taxonomyId level 5","taxonomy level 5"
"topic.1","Poslovnik Skupščine Republike Slovenije","taxonomy.root","Organizacija in delovanja Državnega zbora oz. Skupščine Republike Slovenije","","","","","","","",""
"topic.2","Izvolitev Mandatno-imunitetne komisije in verifikacija mandatov","taxonomy.root","Organizacija in delovanja Državnega zbora oz. Skupščine Republike Slovenije","taxonomy.1","Konstituiranje","","","","","",""
"topic.3","Informacijski in varnostni sistem v Skupščini Republiki Slovenije","taxonomy.root","Organizacija in delovanja Državnega zbora oz. Skupščine Republike Slovenije","taxonomy.2","Organizacija in delovanje","","","","","",""
"topic.4","Predlog, da se vsi zakoni, ki jih povezuje preoblikovanje lastnine, hkrati objavijo v Uradnem listu","taxonomy.root","Organizacija in delovanja Državnega zbora oz. Skupščine Republike Slovenije","taxonomy.2","Organizacija in delovanje","","","","","",""
"topic.5","Sklep o zavrnitvi obravnave aktov in gradiv, ki niso pisana v slovenščini in predlog sklepa o opremi in razvrščanju gradiv za seje zbora","taxonomy.root","Organizacija in delovanja Državnega zbora oz. Skupščine Republike Slovenije","taxonomy.2","Organizacija in delovanje","","","","","",""
"topic.6","Volitve predsednika skupščine","taxonomy.root","Organizacija in delovanja Državnega zbora oz. Skupščine Republike Slovenije","taxonomy.2","Organizacija in delovanje","taxonomy.2.1","Predsednik","","","",""
"topic.7","Predsedujoči skupne seje","taxonomy.root","Organizacija in delovanja Državnega zbora oz. Skupščine Republike Slovenije","taxonomy.2","Organizacija in delovanje","taxonomy.2.1","Predsednik","","","",""
"topic.8","Izvolitev predsednika Zbora združenega dela","taxonomy.root","Organizacija in delovanja Državnega zbora oz. Skupščine Republike Slovenije","taxonomy.2","Organizacija in delovanje","taxonomy.2.1","Predsednik","","","",""
"topic.9","Vprašanje zaupnice predsedniku Zbora združenega dela","taxonomy.root","Organizacija in delovanja Državnega zbora oz. Skupščine Republike Slovenije","taxonomy.2","Organizacija in delovanje","taxonomy.2.1","Predsednik","","","",""
"topic.10","Odstop predsednika Zbora združenega dela","taxonomy.root","Organizacija in delovanja Državnega zbora oz. Skupščine Republike Slovenije","taxonomy.2","Organizacija in delovanje","taxonomy.2.1","Predsednik","","","",""
"topic.11","Tehnična in proceduralna sporočila predsednika Zbora združenega dela","taxonomy.root","Organizacija in delovanja Državnega zbora oz. Skupščine Republike Slovenije","taxonomy.2","Organizacija in delovanje","taxonomy.2.1","Predsednik","","","",""
"topic.12","Zahvalna beseda in nagovor predsednika","taxonomy.root","Organizacija in delovanja Državnega zbora oz. Skupščine Republike Slovenije","taxonomy.2","Organizacija in delovanje","taxonomy.2.1","Predsednik","","","",""
"topic.13","Izvolitev podpredsednika Zbora združenega dela","taxonomy.root","Organizacija in delovanja Državnega zbora oz. Skupščine Republike Slovenije","taxonomy.2","Organizacija in delovanje","taxonomy.2.2","Podpredsednik","","","",""
"topic.14","Zahvalna beseda podpredsednika","taxonomy.root","Organizacija in delovanja Državnega zbora oz. Skupščine Republike Slovenije","taxonomy.2","Organizacija in delovanje","taxonomy.2.2","Podpredsednik","","","",""
"topic.15","Imenovanje sekretarja Zbora združenega dela","taxonomy.root","Organizacija in delovanja Državnega zbora oz. Skupščine Republike Slovenije","taxonomy.2","Organizacija in delovanje","taxonomy.2.3","Sekretar","","","",""
"topic.16","Protest liberalne stranke do nekulturnega obnašanja Rajka Pirnata","taxonomy.root","Organizacija in delovanja Državnega zbora oz. Skupščine Republike Slovenije","taxonomy.2","Organizacija in delovanje","taxonomy.2.4","Poslanci","","","",""
"topic.17","Počastitev spomina umrlega delegata Zbora združenega dela Skupščine Republike Slovenije dr. Dimitrija Mikuša z enominutnim molkom","taxonomy.root","Organizacija in delovanja Državnega zbora oz. Skupščine Republike Slovenije","taxonomy.2","Organizacija in delovanje","taxonomy.2.4","Poslanci","","","",""
"topic.18","Prenehanje mandata delegata Zbora združenega dela Skupščine Republike Slovenije","taxonomy.root","Organizacija in delovanja Državnega zbora oz. Skupščine Republike Slovenije","taxonomy.2","Organizacija in delovanje","taxonomy.2.4","Poslanci","","","",""
"topic.19","Obvestilo o smrti delegata Dimitrija Mikuša","taxonomy.root","Organizacija in delovanja Državnega zbora oz. Skupščine Republike Slovenije","taxonomy.2","Organizacija in delovanje","taxonomy.2.4","Poslanci","","","",""
"topic.20","Zahteva Jožeta Arzenška, da poslanec Zbora občin Danijel Starman pojasni svojo javno izjavo o Zboru združenega dela in se opraviči","taxonomy.root","Organizacija in delovanja Državnega zbora oz. Skupščine Republike Slovenije","taxonomy.2","Organizacija in delovanje","taxonomy.2.4","Poslanci","","","",""
