"titleId","title"
"ZbZdruDel.1990-05-07.s001-01.toc-item1","Izvolitev Mandatno-imunitetne komisije Zbora združenega dela Skupščine Republike Slovenije ter verifikacija mandatov delegatov v zboru (kasneje 1. in 2. točka dnevnega reda - obravnavano pred sprejetjem dnevnega reda)"
"ZbZdruDel.1990-05-07.s001-01.toc-item2","Določitev dnevnega reda"
"ZbZdruDel.1990-05-07.s001-01.toc-item3","Obravnava začasnega poslovnika Skupščine Republike Slovenije (3. točka dnevnega reda)"
"ZbZdruDel.1990-05-07.s001-01.toc-item4","Predlog zakona o ratifikaciji sporazuma o garanciji med SFR Jugoslavijo in Mednarodno banko za obnovo in razvoj (projekt vodovod in kanalizacijo v Slovenskem primorju YU 3070) (6. točka dnevnega reda)"
"ZbZdruDel.1990-05-07.s001-01.toc-item5","Predlog zakona o ratifikaciji sporazuma o garanciji med SFR Jugoslavijo in Mednarodno banko za obnovo in razvoj (projekt za vodovod in kanalizacijo v Istri YU 3069) (5. točka dnevnega reda)"
"ZbZdruDel.1990-05-08.s001-02.toc-item1","Nadaljevanje obravnave začasnega poslovnika Skupščine Republike Slovenije (3. točka dnevnega reda)"
"ZbZdruDel.1990-05-08.s001-02.toc-item2","Izvolitev predsednika in podpredsednika Zbora združenega dela (4. točka dnevnega reda)"
"ZbZdruDel.1990-05-09.s001-03.toc-item1","Izvolitev predsednika in podpredsednika Zbora združenega dela (4. točka dnevnega reda)"
"ZbZdruDel.1990-06-13.s002-01.toc-item1","Ugotovitev prisotnost delegatov"
"ZbZdruDel.1990-06-13.s002-01.toc-item2","Tehnična in proceduralna sporočila predsednika Zbora združenega dela"
"ZbZdruDel.1990-06-13.s002-01.toc-item3","Določitev dnevnega reda"
"ZbZdruDel.1990-06-13.s002-01.toc-item4","Odobritev osnutka zapisnika 1. seje zbora (1. točka dnevnega reda)"
"ZbZdruDel.1990-06-13.s002-01.toc-item5","Imenovanje sekretarja zbora (2. točka dnevnega reda)"
"ZbZdruDel.1990-06-13.s002-01.toc-item6","Predlogi odlokov o oblikovanju nekaterih teles Skupščine Republike Slovenije (3. točka dnevnega reda)"
"ZbZdruDel.1990-06-13.s002-01.toc-item7","Proceduralne zadeve"
"ZbZdruDel.1990-06-13.s002-01.toc-item8","Informacija delegacije Skupščine Republike Slovenije v Zboru republik in pokrajin Skupščine SFRJ o poteku usklajevanja  nekaterih aktov iz pristojnosti Zbora republik in pokrajin Skupščine SFRJ (4. točka dnevnega reda)"
